sex,minAge,age,country,location,LHML,LHEB,LHHD,LHMLD,LHAPD,RHML,RHEB,RHHD,RHMLD,RHAPD,LRML,LRMLD,LRAPD,RRML,RRMLD,RRAPD,LFML,LFBL,LFEB,LFAB,LFHD,LFMLD,LFAPD,RFML,RFBL,RFEB,RFAB,RFHD,RFMLD,RFAPD,LTML,LTPB,LTMLD,LTAPD,RTML,RTPB,RTMLD,RTAPD,BIB,LIBL,RIBL,LAcH,RAcH
male,25,25-30,Austria,Austria,322,64,43.81,20.07,20.38,328,66,45.76,21.95,21.73,246.5,15,12.12,254,18.29,13.29,468,464.5,,,44.74,27.58,30.17,469.5,466,80,68.79,46.48,27.21,29.36,380.5,67,24.52,28.96,388,71.5,22.99,28.81,275,154,153,51.89,51.95
male,25,25-30,Austria,Austria,300,58,42.11,19.95,19.17,300.5,59,40.72,19.79,19.46,224.5,13.65,10.6,226,13.17,10.41,410,406,75.5,63.36,42.53,25.1,24.54,407.5,400,77,65.89,41.94,24.83,23.74,342,66,20.06,26.33,342.5,68,21.64,25.21,247,153,156,47.17,48.51
male,25,25-30,Austria,Austria,351.5,60,48.47,23.7,22.74,357,64,49.04,24.63,23.5,,,,264,17.24,13.4,489.5,486,82,73.32,47.36,28.21,30.32,491.5,489,84.5,76.26,49.21,27.24,30.86,406,74,26.88,28.63,403,78,23.03,28.58,,165,162,52.91,54.13
male,25,25-30,Austria,Austria,,,,,,,,,,,256,14.76,11.12,259,15.14,11.56,469.5,464,81,71.96,47.69,28.09,26.37,,,,,,,,383.5,71,23.91,22.96,,,,,281,154,,53.67,
male,25,25-30,Austria,Austria,311,63,46.56,19.52,21.53,316,61.5,46.52,19.6,21.72,244,15.08,11.83,244.5,14.89,12.79,442,439.5,79,67.34,44.79,27.89,27.8,445,443.5,79,66.34,46.45,27.72,27.3,363.5,67,23.72,25.86,369,69.5,23.16,25.37,260,144,145,51.46,50.94
male,25,25-30,Austria,Austria,,,,,,323,59,43.41,20.88,21.8,225,15.77,13.3,217,14.67,13.19,430,429,79,66.16,46.89,31.05,26.15,422,420,78,67.06,49.16,32.31,25.44,365,67,21.93,28.71,362,72,23.05,27.24,271,159,158,53.43,54.48
male,25,25-30,Austria,Austria,330.5,61,43.84,20.71,21.25,343,59,43.36,21.06,21.18,264,14.23,11.97,263,14.93,12.59,459,454,76,65.83,47.39,29.01,24.57,459,453,76,63.27,46.23,28.86,24.67,389,58,20.9,24.22,388,70.5,21.36,26.74,271.5,162,161,53.61,52.06
male,25,25-30,Austria,Austria,322.5,63.5,45.42,23.48,23.73,331.5,64,47.38,26.01,24.05,239.5,16.38,12.47,241,17.26,12.83,439.5,436,81,64.3,48.14,30.58,29.85,443,437,80,62.84,48.22,28.75,28.26,365,73,22.68,26.85,362,73,26.4,27.09,293,159,165,52.6,51.35
male,25,25-30,Austria,Austria,332,60.5,47.67,19.15,19.8,335,63.5,46.22,18.86,20.33,255,14.15,11.68,253,15.39,11.45,454,450.5,80,70.54,48.44,29.26,28.16,454.5,449,80.5,69.07,46.6,27.75,26.96,373,72,24.89,27.83,378,71,23.94,27.82,,167,168,54.08,54.29
female,25,25-30,Austria,Austria,,,,,,313,55.5,45.06,20.16,19.18,237,12.57,11.83,238,13.75,11.68,427.5,421,73,64,41.84,27.37,22.27,430,424.5,74,65.07,41.58,26.16,22.88,366.5,65,21.49,21.83,363,66,21.65,23.23,283.5,157,,45.8,47.04
male,30,30-40,Austria,Austria,,,,,,285,54,40.75,19.53,18.52,,,,224.5,12.62,9.78,,,,,,,,395,394,70,60.97,40.2,26.15,22.93,,,,,340.1,61,20.25,22.66,273,,,48.47,47.62
male,30,30-40,Austria,Austria,302,59,43.11,18.52,21.4,311,57,44.95,20.04,21.05,232,12.67,10.61,233.5,13.71,11.2,,,,,,,,419,416,78,71.43,45.44,27.12,26.89,352,74,21.77,25.11,349.5,72,21.64,24.85,262,153,151,51.42,51.33
male,30,30-40,Austria,Austria,363,66,50.47,19.36,20.2,369,65,49.76,22.22,19.46,269.5,15.13,12.76,268.5,16.71,12.78,,,,,,,,505,501,79,64.88,50.96,29.52,25.16,,,,,412,,22.88,25.65,295,166,163,55,
male,30,30-40,Austria,Austria,327,62,46.27,22.54,20.48,330.1,66,47.15,23.41,22.23,259,15.88,11.99,267,17.54,13.21,462,458,77.5,,47.24,27.57,29.19,463,456,83,70.24,46.63,26.11,28.9,381,69,21.75,24.16,380.1,73,24.71,24.39,246.5,,161,52.77,53.54
male,30,30-40,Austria,Austria,,,,,,329,64.5,48.3,24.52,22.18,246,17.06,12.05,247,16.73,12.52,443,442,82.5,72.89,47.14,31.09,32.12,443,438,82.5,69.93,48.04,29.87,31.71,377.5,74.5,22.16,26.8,377,74,23.95,24.49,285.5,156,155,52.38,52.05
male,30,30-40,Austria,Austria,305,68,46.86,21.35,21.3,310.5,70,47.75,20.66,21.96,252,14.6,12.05,249.5,16.53,13.23,441,439,84,73.56,47.86,28.87,26.12,441,339,84.5,69.53,47.37,27.72,26.22,370.5,73,25.33,26.48,371.5,76.5,22.32,28.87,299,166,,52.89,53.53
male,30,30-40,Austria,Austria,301.5,62,43.02,21.67,21.7,310,66,41.56,23.18,23.15,244,17.45,12.01,242,18.07,13.24,408,405,79.5,63,41.79,27.37,27.67,407,404.5,76,64.81,43.41,27.14,29.13,360,67.5,22.15,31.12,360.5,67,24.72,32.12,260,149,144,49.44,50.76
male,30,30-40,Austria,Austria,301,51,39.82,19.23,19.78,,,,,,216,12.7,10.03,214,13.67,9.88,430.5,424.5,69,57.98,40.12,24.86,23.51,430,425,68,58.75,40.1,23.87,23.79,347,62,18.09,27.94,344.5,60,21,27.05,248.5,147,,46.59,45.39
